,mark,review_text,date
184,3," отдыхали архипо-островке, году пожалели, приехали джубгу. это ужас. не сказать грубее. грязь, шум. дорогу перейти не возможно, не останавливаются. столовых кафе готовить не умеют. прошли кафе столовых. не вкусное. детей нет каких развлечений вообще. аквапарк черта куличках, дельфинария не дошли, ещё дальше видимо. короче не рекомендую ехать туда, не тратьте свои деньги время, отдых не испорчен ",09 июля 2021
185,6," холодная вода 8.07.21. вода детских бассейнах холоднее море. пришли туда ради детей. час ушли. входе заставляют сдать принесённые собой не еду, воду, покупали них. 2 дня аквапарке золотая бухта , цена 25 % выше, высшем уровне, вода детских подогревом горки территория круче 100 %. не экономьте. ",08 июля 2021
186,4," отдыхали дикарями (ехали ради солнца моря; еды, сервиса хватает дома). ужасно! делись хваленые широкие, песчаные пляжи? начиная центрального пляжа дальше, сторону джемете, вдоль моря - 'заборы-загоны' шезлонгов, узкую кромку пляжа, оставленную общее использование, не рыхлили, наверное, года три: идешь бетону. хочется греться, раньше, толчеи чистом, горячем, мягком песке, вместо этого- усыпанный мусором песчаный 'асфальт' 'клетки', внутри которых свободные клочки-наделы пока дышащего песка абонированы месяца лета вперед. итоге: катастрофическая нехватка места песка, хотя другого анапе изобилие. неужели сложно: убрать 'твоя-моя' заборы; ограничить рядность шезлонгов зонтиков; рыхлить песок; убирать мусор(?). анапские пляжи захирели. дальше некуда. факт. ",07 июля 2021
187,1," очень дорого! неадекватные цены да! скажу барыги местные вообще озверели, поедешь экскурсию, которая дорогущая, ещё поесть, раскошелиться, пирожок сраный 100 рублей! бутылка воды раза дороже супермаркете, конец охренели. фрукты дороже городе омске )), арбузы вообще золотые! уму не постижимо! ещё туристов ждут! срач, дороговизна, единственное- море горы ещё не продают. да, конечно, турцию полетят. ",07 июля 2021
188,10," отдыхали 5 посёлке, очень понравилось. году решили разнообразить, поехали джубгу пожалели. архипка очень удобная столовые прекрасные, готовят вкусноосо. особенно хочу выделить столовую архипка торнадо, которая расположена пляже. не дорого вкусно порции большие, персонал вежливый. присвоила стус кафе, обоим столоввм. короче жаль, году туда не поехали ",06 июля 2021
189,4," осторожно море бухте грязное. людей очень много, дорого заразно. питьевой воды нет домах. дороги узкие, фрукты неизвестного производства. аптеках покупают лекарства отравления, некоторых нет масок. шторма купаться дня. ротовирус, кишечная инфекция. желательно не кушать кафе т. д. ",06 июля 2021
190,10," обновили маршрут! маршруту шёл один. очень люблю такие места, последний детстве. приятно удивлён обновлённой кассой любезными сотрудниками, которые рассказали предложили сопровождение бесплатно. каньон очень красивый. чистейшая прозрачная вода, скалы водопад просто обалденно. рекомендую! ",05 июля 2021
191,10," отлично отдохнули друзьями. вход 200 рублей человека, сына подруги вообще пустили бесплатно (ему 9 лет). тропа несложная совсем, главное обуть кроссовки. каньон очень красивый, также прогуляться немного дальше оказаться купели - немного покупались. около часа шли конца маршрута вышли шашлычной пикниковой поляне. ужина владелец кафе любезно согласился подвезти обратно. супер. ",04 июля 2021
192,10," красивое место маршрут очень красивый, каньон находится внизу. вода нем прохладная, искупались удовольствием. пофоткались каменном завале завершили шашлыком пивом кафе конце маршрута. рекомендую! ",03 июля 2021
193,9," лучшее место фотографий одно самых лучших мест сочи фотографий. вместе фотографами вышли каньон мастер-класс фотографии. восторге, кадры получились невероятными! ",03 июля 2021
194,10," пляж великолепный, единение природой. данный момент выглядит иначе, море галька, большие камни вытащили спецтехникой. пляж оборудовали туалета и, раздевалки, лежаками, вода чистейшая пляж не многолюдный, работает драйвинг клуб, рядом построили жк анаполис, нем снять жильё, первая линия 300 м моря. ",03 июля 2021
195,10," романтичный каньон не вздумайте идти туда шлепках. спортивная обувь. иначе не дойдёте. каньон супер красивый, ходил девушкой, сделали классных фото. достаточно людей, не мешают. прохладная вода шум воды. отлично провели время. девушка довольна. место романтичное. ",02 июля 2021
196,10, каньон белые скалы. прекрасно. очень понравилось. порой дух захватывает. люблю такие маршруты. ,02 июля 2021
197,9," красивейшая локация! неожиданная локация очень красивая. сразу входе вегетарианское кафе видом навалишинское ущелье. виды каньоне захватывающие, очень недооцененное место, сотрудники сказали, будут благоустраивать вскоре. обалденная купель каньоне которой искупаться пофоткаться. вода прохладная, хорошая, прозрачная. конце пути обалденный каменный завал, мост. маршрут говорят заканчивается, завалом ещё большое количество красивых локаций. конце пути вышли пикниковую поляну. понравилось, рекомендую! ",02 июля 2021
198,10," детей пускают бесплатно мужем ребёнком поехали каньон, пройтись маршруту. ребёнка пустили бесплатно (8 лет). восторге. везде сочи, каньон особенно понравился. нетронутая природа, экологично. мусора не встретили нигде. каньоне искупаться, очень радует долгой прогулки. конце маршрута покушали кафе шашлыка. ",02 июля 2021
199,10," место красивых фотографий хайкинга живописное местечко. подойдёт отдыха друзьями, не детьми. настоящий маршрут хайкинга. накупались нафоткались, конце пути поели шашлык выпили пива. доброжелательные сотрудники кафе добросили началу маршрута. очень чисто, явно регулярно убирают. каньон правда очень красивый, не сочи даже. ",02 июля 2021
200,10," отдыхали прошлым летом женой, нам очень понравилось, пляжи свободные, чистые, нет толкучки, вода теплая открывается очень красивый вид, году хотим посетить лооский храм. ",02 июля 2021
201,3," грязное море погодой повезло, море очень очень грязное (ладно листья опавшие, ветки, трава, плавает воде грязь-полиэтиленовые пакеты, пластиковые крышки бутылки, гигиенические прокладки прочие интимные принадлежности (презервативы) , использованные маски тп тд). 56 лет. отдыхе внуком 5 лет. моем детстве родители нам говорили купайтесь удовольствие, не бойтесь, морская вода попадёт рот, нос, уши, следила, не попала рот, нос, уши. позорище! это плескание море получается какое это оздоровление организма!?! ",01 июля 2021
202,2," гости города анапы местные жители. будьте аккуратно, остерегайтесь иметь дело розой представляется её имя вардитер бабаян. предлагала жилье крымской 121 2020 году летом человеку инвалидной коляске. согласились номер инвалиду удобен. отправлена предоплата 3 февраля 2020 года сумме 5000 тыс рублей. короновируса услуга не оказана деньги не возвращены хотя обещали. бронирование отменено месяц. спустя 3 месяуа сезон открылся напомнили денежном долге, роза ещё накричала нас. человек сей день обещает вернуть деньги . год. подходили адрес крымская 121 сказали , отдала арендованый дом хозяин. претензии новому хозяину не имеем. порядочности женщины судите сами ",28 июня 2021
203,9," хороший отдых уставшим телу душе нашего корпуса берегу минут 10 идти неспешным шагом. пляж вдоль всей береговой линии, чистенький аккуратный, не крупная галька, песочек найти. понравилось, пляже относительно тихо, музыка не гремит, позволяет действительно отдохнуть. ",24 июня 2021
204,10," отлично отдохнули 2020 добрый день. отдыхали семьей 2020 году июле ейске. это первый наш отдых городе. остались очень довольные. погода 10 дней стояла великолепная, 15 мин. пешком моря,набережная каменка. очень понравился парк поддубного, столовая сливки-оливки(обедали каждый день, меню очень разнообразное вкусно) снимали свердлова 38. очень хорошая хозяйка анна. домики другим адресам. бронируйте не пожалеете. отдых семей детьми . молодежи не понравится. очень хорошее место должанка-глубоко, голубая вода, развлечения. обязательно посетите кубанские вечерки экскурсия атаману. прикольно там. ",23 июня 2021
205,1," никому не советую. позорище. аквапарк позиционирует лучший, итоге получаете: 1. необоснованно высокую цену билета. 2. шкафчики хранения вещей замков. 3. доп стоимость взять шкафчик замком лол. 4. шкафчики ржавые древние позорище. 5. шмон входе предмет проноса своей еды. брать собой, впарить еду втридорога.6. огромные очереди горки. важнее прибыль ваше удобство.7. хамский персонал горках.8. завышенны некачественную продукцию кафе.9. убитые хлам раздевалки.10. впаривают входе билеты 3д аттракционы которые невозможно попасть. впустую потраченное время деньги никому не советую. красная цена 1000₽ ",22 июня 2021
206,10, нам нравится это место года подряд кумовьями ездим сюда отдыхать. году планируем. отдыхать детям взрослым. находится рядом пляжи чистые. ,17 июня 2021
207,3," не очень не стоит денег отдаленности, та джубга лучше,кроме сочи парка не смотреть. самолёты мишают. кафе набережной дроф по-моему, очень вкусно,но цены дороговато. ",16 июня 2021
208,2," плохое состояние 2 корпуса отдыхала санатории лоо , 2 корпусе ,наш коллектив заселили 3 часа позже, выселили заблокировали карточки 1 час раньше, 1 день отъезда находились лифте застряли пол пути около 2 минут, 4 5 этажом.у нашего коллектива каждой комнате находились тараканы! ",15 июня 2021
209,1," очень плохой отдых июнь начало грязь мусор не вывозится весь море отдыхали путевке бригантине социализме . пляж почему забором береговая линия не убирается мусора, персонал пляжа не смотря пандемию продаёт лежаки забор пляж вдоль моря не убирает. отдых плохой самое главное море оно грязное из-за мусора. вода санатории техническая очень грязная не помыться не постираться вещи ржавчине! ",13 июня 2021
210,2," пробка кабардинки, геленджика едем 2 часа час точно ехать будем. решил модернизировать дорогу летний период.... просто жоооо(_!_) ",11 июня 2021
211,10," отличное место! любим отдыхать каждое лето семьей. детям очень нравится, да ценам всё приемлемо. всё чистенько, убрано, приятно проводить время. набережная очень красивая, кафешки, продают вкусняшки. ",11 июня 2021
212,10," лечение питание-отличное, проживание тоже, единственное момент непонимания одним администратором ресепшн, остальные очень вежливые, администраторы, горничные, мед сестры. оценка 5, кроме одного момента.))) именно случилось уточнять не хочу, хочется остались приятные воспоминания! врачи очень грамотные , внимательные. всем всем всем довольны,(помимо момента), поэтому ездим приедем еще! ",11 июня 2021
213,10," спокойный отдых любых пар очень мило, обходительный персонал, это негласное место отдыха однополых пар, директор пляжа лично следит порядком угощает парней напитками прогоняет гомофобов. спасибо ьо создали уютный островок могут спокойно отдохнуть люди любой ориетации. ",10 июня 2021
214,10," пляж достаточно чистенький обустроенный. нет какой-то суеты. очень подходит отдыха семьёй. видно ,что недавно занимались благоустройством набережной - всё смотрится свеженьким нарядным. ",09 июня 2021
215,10," красивое недорогое место второй год ездим сюда родственниками. заняться взрослым, детям. пляж чистый, ухоженный, температура воды идеальная. ценам не сильно дорого. рекомендую! ",08 июня 2021
216,10," хорошее место отличное место, прошлом году ездила вместе дочкой внуком. нам очень понравилось не народа пляжах, да сами пляжи чистые. разных развлечений любой вкус адекватным ценам. ",07 июня 2021
217,9," воздух -чистый горный! насчет качества услуг могу сказать самый наивысший бал! 5! анимации немножко не хватало вечернее время, остальное прекрасно! питание хорошее, коллектив подобран, люди очень хорошие работают, молодцы общем! воздух -чистый горный! прекрасно отдохнули, получили заряд бодрости. спасибо, следующей весной приедем снова! ",07 июня 2021
218,10," пляж понравился отдыхали семьёй первый раз. пляж нам очень понравился, красивые виды, чистый воздух. достаточно развлечений. цены вполне приемлемые. рядом магазины есть, перекусить. ",02 июня 2021
219,9," отличное место отдыха моему мнению. отдыхали всей семьей 3 раза там. развлечение найдется каждого возраста. чистый пляж, красивые виды, набережной очень уютно. рекомендую. ",31 мая 2021
220,10," не советую не советую,директор хам ",30 мая 2021
221,2, никому не советую сюда ездить одни хамы быдланы ,30 мая 2021
222,10," хорошее место отдыха отдыхать не сочи, лоо, хорошие пляжи прекрасный променад. конечно, близость жд путей напрягает, любом поселке. набережной кафешек магазинчиков, продают вкусную аджику приправы. ",29 мая 2021
223,10," понравилось классное место, пляж достаточно чистый уютный. набережная красивая, можем гулять наслаждаться прекрасным видом. общем, очень понравилось. отдых получился отличный. ",27 мая 2021
224,10," хороший пляж поводу пляжа могу хорошее сказать. чисто, убрано, приятно находиться. отдыхали прошлых выходных всей семьей. набережную какую сделали, красота одним словом! всем советую побывать! ",26 мая 2021
225,9," хорошее место отдыха отдыхали семьей июле 19-го года. впечатления лишь положительные. набережная чистая, ухоженная. морем пляжем аналогично. развлечений предостаточно, причём возрастов, скучно точно не будет. цены приемлемые. рекомендую. ",25 мая 2021
226,10," положительные эмоции впечатления. отдыхали женой, провели время очень классно, довольны отдыхом. 10 дней, цены вполне адекватные, хороший воздух, ночью гуляли, общем всё отлично. могу рекомендовать) ",19 мая 2021
227,9," сафари парк г. краснодаре, лучшее место семейного отдыха посетила сафари парк , приехала, просто провести время, посещении поняла, это чудо, контактный зоопарк, погладить привычных диковенных зверюшек, покормить их, увидеть живых крокодилов, множество обезьяной, других животных, которых нет обычных зоопарка, чистенько, звери очень ухоженные, пробыла весь день, настроение контакта животными поднялось состояния восторга, всем рекомендую посещению, чудесного места семейного отдыха. ",18 мая 2021
228,10," приятный недорогой отдых отдыхал женой прошлым летом. пляжи чистые, ухоженные, обожал спать них. море красивое, приятным оттенком. насладиться приятным, чистым воздухом, природой. цены не завышают, отличии большинства курортов. ",16 мая 2021
229,10," хороший, качественный отдых ездила подругой отдых, очень понравилось. красивые виды, чистые пляжи море, приятый свежий воздух, насладится прекрасной погодой расслабиться пляже. цены адекватные. ",14 мая 2021
230,10," уютная набережная, чистый пляж лоо останавливаемся каждый год. это милый уютный поселок, людей конечно, везде полно, чистый пляж, красивые горные виды, общем, местечко чудное красивая набережная. ",12 мая 2021
231,10," незабываемые впечатления первый раз, осталась очень довольна. море чистое, спокойно. погода замечательной. цене доступно. домой прилетела отдохнувшей никогда. обязательно следующий возьму собой детей, прекрасного места, кажется, не может. ",11 мая 2021
232,10," хороший спокойный отдых отдыхали детьми 2 года подряд. тихий спокойный посёлок. море чистое, пляж благоустроенный, воздух чистый. отдыхал, жарко считаю, погодой повезло, купались загорали. вечером несколько ездили сочи экскурсии. ",05 мая 2021
233,10," впервые прошлом году поехали лоо вместе мужем ребенком. очень остались довольны, море пляж чистейший. нужное шаговой доступности, да деньгам дешевле сочи. ",04 мая 2021
234,5," большие пробки геленджике!!! 30.04.21г. информация всех, машине собирается геленджик. подьездах геленджику активно ведется строительство долгожданных автомобильных развязок. поэтому конца года подьездах городу очень большие пробки (на несколько километров)!!!!!! возможность, город заезжать стороны джубги. запаситесь терпением, нервами, бензином водой. всем здоровья! ",01 мая 2021
235,10," остались довольны отдыхом отдыха остались положительные впечатления. чистый красивый пляж. очень понравилась набережная, гуляли. тишина, всё транспортной доступности. семейного отдыха самое то. ",29 апреля 2021
236,10," подходит семейного отдыха первый отдыхали приятно удивлены. красивое чистое место, расслабиться обо всем забыть. сравнительно спокойно менее людно большинстве известных курортов. прогуляться, посмотреть занять. ",27 апреля 2021
237,10," очень понравилось! отдыхали лоо прошлом году остались полностью довольны, очень понравилось, тихо, море чистое, нету таких огромных толп народу, сочи. году обязательно вернемся! ",25 апреля 2021
238,10," хорошее тихое место лоо нам понравилось, гораздо бюджетнее, сочи адлере, тихий, уютный поселок вода чистая чистым пляжем. конечно, особо не разгуляешься, приехали машине - съездить сочи, розу хутор куда. чисто покупаться, позагорать, деткам кайф. ",23 апреля 2021
239,10," лучшее место отдыха отдыха семьёй это лучшее место, пока нашёл. года подряд отдыхаем. пляж чистый, загорать именно едет, самое оптимальное. рекомендую вечерами набережной гулять, романтики оценят. ",21 апреля 2021
240,10," хорошее место самостоятельных путешественников! понравилось. вода море чистая основном везде плавный уход глубину неожиданностей, купаться детьми. не сказал, пляж дичь дичью , достаточной мере цивилизованно например сходить уборную, бросить шкорки еды, купить водички. ",16 апреля 2021
241,10," отличная природа природные достопримечательности. море чистое прозрачное. пляж галечный. галька среднего размера, встречаются валуны. пляжи не переполнены досточно чистые. необходимое есть: кабинки, урны. набережная выложена брусчаткой. лавочки которых отдохнуть. ",12 апреля 2021
242,10," семейного отдыха рекомендую. хорошее место, снять стресс - это просто нужно. пляж просторный самое главное - чистый, мусора. вид вокруг просто потрясающий. семейного отдыха рекомендую. ",09 апреля 2021
243,10," отличный отдых! отличное место - действительно лечит снимает стресс! место спокойное, развлечений экскурсий близко. пляж галечный, чистый, море чистое. вокруг зелени цветов, пейзажи восхитительные! ",07 апреля 2021
244,10," отличное место отдыха семьей, тихо. галечный пляж, чистый воздух, качественный сервис. цены вполне доступные. разные варианты досуга. проблем добраться любых достопримечательностей. ",03 апреля 2021
245,10," обязательно посещению змей горыныч, жар птица квантовый скачок – кита, которых стоит сочи парк. аттракционы просто крутые, эмоции проката не сравнить. кататься сколько угодно, сделали. очередей не боялись, брали билеты-скороходы, ними проходить посадку первыми. увидели, скоро откроется экстремальный аттракцион, это повод приехать парк раз! ",01 апреля 2021
246,10," хорошее место отдыха семьей прошлом году женой детьми. мусора пляже не было, видно, этим тщательно следят. море чистое, плавать одно удовольствие. дети не заскучают, развлечений предостаточно. ",31 марта 2021
247,10," приятные впечатления лоо 2 года назад пандемии мужем ребенком 5 лет. отдых чудесный, пляж чистый, развлечений достаточное количество. ребенку отдельно понравился огромный аквапарк. впечатления остались самые теплые. ",30 марта 2021
248,10," хорошее место молодой пары прекрасное тихое место, которые очень понравилось моей девушке. отдых прошел так, планировали. увидели красивые земные ландшафты, погрелись солнышке успели одну экскурсию. следующем году, снова не объявят самоизоляцию, приедем еще. ",29 марта 2021
249,2," самый худший горнолыжный курорт сочи ниже опишу ситуацию, которой поймете отношение посетителям розы хутор:с 25.03.21 сломался подъемник олимпия, является основным, который доставляет площадку шале, вариант припарковаться олимпийской деревне, бесплатной парковки будете идти около 20 минут крутую горку, горнолыжные ботинки весом 4 кг одной руке лыжи 6 кг, палки, подумайте сможете преодолеть это препятствие.с платной парковки идти около 7 минут горку кассы, выезду увидите ценник парковку 1200 рублей, времени 3-х часов.абсолютно нет никакого сервиса, ценник выше, газпроме 2 раза.для сравнения цена вечернее катание розе 1550, газпроме 1331, подъемники холодные, не работает подогрев, супер медленные.хотите выкинуть деньги ветер получить вместо эмоций негатив - роза хутор. ",29 марта 2021
250,10," супер отдых отдыхали лоо прошлым летом всей семьей. сразу скажу, остались одни положительные емоции восхищения. море пляж чистые. нет городской суеты, спокойно красиво. отдыхать одно удовольствие. кстати ценовая политика вполне приемлема. году обязательно вернёмся. ",25 марта 2021
251,2," ограбили.... ограбили,караул,по миру пустили.всех владельцев суд,3 рыбки плавают луже,океанариум назвали.цена космос такое,пороть беспощадно. ",24 марта 2021
252,10," хорошее место отдыха отдыхали женой прошлом году. впечатления основном положительные. пляж набережная красивые, ухоженные, мусора нет слова совсем. нет суеты, спокойно, тихо, не не радовать. ценам выходит не особо дорого, оно точно стоит! ",23 марта 2021
253,10," отличное место цени порядке отдыхали прошлом году мужем ребенком, очень остались довольны чистотой моря пляжей. аквапарке разные зоны детей взрослых, разные аттракционы. году планируем поехать туда. ",21 марта 2021
254,10," природа просто сказке. всем краснодарском крае такого изобилия экзотических растений нет. климат мягкий, жара переносится легко. фотографиям знакомые решили, отдыхали границей. ",19 марта 2021
255,10," прекрасное место, поехать экскурсии, природа богатая великолепная. ",19 марта 2021
256,10," лазаревский район очень красивый уютный отдыхающих, море замечательное, чистое. ",19 марта 2021
257,10," целом лоо отличное место тихого спокойного отдыха детьми. вдали шума суеты. сочи ласточке 20 минут. очень многое посмотреть. аквапарк, дельфинарий, джиппинг горы горным рекам (это восторг полный). конечно, цены не маленькие, это везде так. пляжах (парашюты, бананы, катера, яхты). ",19 марта 2021
258,10," 🐬 лоо многих регионов,даже ценнику,и очень важно,что пляже нет огромных булыжников! ",19 марта 2021
259,10," сказке фильме удобно, билет целый день, нему выходить заходить парк сколько угодно раз. билет входят аттракционы, не нужно доплачивать. несколько прокатились желтой горке змей горыныч, цепочках. зашли ресторан роллер, удивление! оформление фантастическом фильме – американские горки прямо внутри ресторана, столы приезжает заказ. ",11 марта 2021
260,9," супер отдыха детьми! приветствую! заядлые путешественники, covid решили не летать далеко, отдохнуть россии. сочи анапа набили оскомину принято решение поехать ейск. море тёплое мелкое - идеально детей! набережная шмидта (здесь называли район каменка) благоустроенная, океанариум дельфинарий, крокодилова ферма. дети восторге, взрослым есть, посмотреть. кафе любой вкус. нам понравилось фишке. клёвый парк имени поддубного. шикарный отдых семей детьми, молодежи детей 20-40 особо делать нечего. ",25 февраля 2021
261,10," 1976 году работал. день начинался приготовления шашлыка. бараньи полутуши привозили ресторана мы, вдвоем поваром, топорами рубили маленькие кусочки, баранина австралии. одиннадцати часам шли внутрь башни девятнадцати часов жарили шашлыки. девочки это время мариновали шашлыки завтра нанизывали шпажки кусочки баранины дальнейшей жарки мангале целый день. поток людей начинался одиннадцати восемнадцати, стояла очередь. кафе башне открывалось одиннадцать, начинали приезжать отдыхающие экскурсионных автобусах. ",09 февраля 2021
262,10," ресторан ахун ранее, советское время, входил сочинский трест столовых ресторанов. появились такие рестораны огни сочи, лесная поляна, кавказский аул, пацха т.д. легенда гласит, вроде самом месте, построен ресторан, очень давно средневековый храм. посвящали воины, заключались браки. построенный обломках святыни, ресторан разрушил создаваемую веками гармонию. 1976 году работал поваром. это вне разрядный ресторан время это единственный ресторан варьете.закрытие ресторана очень прозаическое - отсутствие воды канализирование стоков. попросту работал привозной воде. большого объекта это не приемлемо. санэпидстанция закрыла. закрытия ресторан обветшал начал разрушаться. ",09 февраля 2021
263,9," люблю анапу несмотря да, анапа не идеальный город - курорт, минусов, плюсов достаточно. плохо не говорили, влюбилась неё первого взгляда! чувствую, это моё. сначала город - мечта меня, мной навсегда 🤗. люблю просто гулять детьми, купаться высоком берегу жить удовольствием себя. да, центральный пляж грязный, сезон, особенно море цветёт, другие места, разница 500-1000 метров, вода прозрачая. люблю анапу ищу положительное, которое перекрывает недостатки ",06 февраля 2021
264,10," здорово, открыт зимой зимой парке не сезон, билет стоит раза дешевле, приятно просто прогуляться, пофотографироваться. детям есть, заняться, детском уголке аттракционы крутятся-вертятся, да дельфинарий открыт. помню, раньше парк вообще зиму закрывался, хорошо, решили не закрывать. ",26 января 2021
265,2," не понимаю народ едет помойку анапу, соседнем новороссийске шикарные чистые пляжи, длиной несколько километров, огромная историческая, набережная, считаю, лучшая всём побережье, рестораны уровне, город вообще миллион интереснее, чище просторнее. рядом курортный посёлок широкая балка, кабардинка, народу много, лучше, анапа геленджик. рядом абрау дюрсо, вообще классное место, которое стоит посетить 100%я местный, приходится ехать мимо анапы, просто плююсь. город тесный, грязный, неухоженный, похож базар хаос.геленджик почище, поуютнее, отдыхать ещё удовольствие. бухта грязная, набережной пройти невозможно, повсюду шалманы непонятной едой. кроме набережной некуда сходить. ",03 января 2021
266,10," сочи парк-это сказка сочи парк – настоящая сказка, безумно красивое место, всем интересно, не важно сколько тебе лет – года тридцать. крутые аттракционы, катались очередей. декабре зелени, пальмы, невероятный ландшафт. новогодние украшения, фотозоны - отсюда не уйти тысячи фотографий! хотелось бы, парк зимой работал дольше, 7 вечера. ",27 декабря 2020
