,mark,review_text,date
317,8,"
Посмотреть можно. но только вечером Не разделяю восторгов по поводу олимпийского парка. Честно говоря это не место для прогулок, поскольку по жаре бродить под открытым солнцем то еще удовольствие. сама ездила туда два раза - на стадион на ледовое шоу и на шоу фонтанов. Оба раза вечером, так что было комфортно. Из минусов - вечером на шоу фонтанов давка на транспорт (мини-автобусики). как в общем то и в обратный путь. пришлось отстоять немалые такие очереди. в остальном нормально - на раз посмотреть.
      
      
",18 февраля 2020
318,8,"
Нормальный парк Ну конечно парк не настолько крут как его описывают. Тот же розарий - это поляна. на которой от силы 5 кустов роз цветет, так что обольщаться на его счет не стоит. Но так в принципе неплохой парк - много аттракционов, но опять таки для детей 3-6 лет выбора покататься не так много. Отдельно стоит отметить дельфинарий - в него стоит сходить. Зоопарк - ну можно посмотреть. Океанариум - такой себе, особенно для тех, кто был в адлерском. В остальные места увы не попали - шоу крокодилов не вызвало интереса смотреть, а сад бабочек два раза не работал. Но так развеяться прийти можно
      
      
",18 февраля 2020
319,10,"
Мечта пока Ой, как я хотела в дендрарий попасть - сколько раз была в Сочи и никак. в первый раз его затопило, закрыли парк. в позапрошлом году были с детьми - выбрались как раз из Туапсе (жили в отеле Марсель) в парк Ривьеру, и так получилось, что часть дороги шли пешком. Видели только бамбуковые заросли через решетку - но реально впечатлило. А так уж дети уставшие были - не хотели больше по парку гулять. Вот парк и самшитовая роща - два места, которые так ни разу и не посетила сколько ни хотела                    
      
      
",18 февраля 2020
320,10,"
Благодарю весь персонал Здравницы за профессионализм, внимание и отзывчивость. Хочется отметить организацию и слаженность в работе всех подразделений. Видно , что здесь работают профессионалы высокого уровня. В этом году приятно удивила работа ресторана. Директору и шеф- повару – респект и уважение. Спасибо, до новых встреч. 
      
      
",16 февраля 2020
321,10,"
Прекрасный пляж Прекрасный пляж. Спасатели на каждом шагу, всегда чисто. Лучшее место для семейного отдыха. 
      
      
",14 февраля 2020
322,10,"
Позвольте выразить вам мою глубокую признательность за возвращение в мир здоровых и активных людей! Горячо благодарю каждого сотрудника за необыкновенную доброту, внимание, скромность и несомненный профессионализм! Отдельное спасибо за прекрасный парк и чистоту в номере!
      
      
",30 января 2020
323,10,"
Мы были всего три дня, ставили цель отдохнуть от проблем, поняли – 3 дня мало, надо приезжать минимум на 10! Очень понравился вечер посвященный Рождеству!
      
      
",29 января 2020
324,7,"
Неплохо,но дорого Отдыхать на курорте Роза Хутор начали еще после олимпиады с 2014 года. Курорт нравится, вроде все отлично и отзывы на различных сайтах-отзовиках типа Это развод положительные, но есть недочеты . Большое разнообразие горнолыжных трасс, причем каждый год они добавляются новые. Сервис на уровне европейских курортов, но вот цены не сравнить. Например, в Австрии или тем более Польше за тот же сервис можно заплатить меньше, однако в Европе качество сервиса растет, инфраструктура совершенствуется. А у нас в России об этом не задумываются, да еще и гребут втридорога.
      
      
",28 января 2020
325,10,"
Все очень понравилось. Приезжаю второй раз и с прекрасным настроением уезжаю. Результат превзошел себя. Все процедуры супер, а особенно занятия кавказской йогой с Зауром Жанэ. Это что-то.  Жаль, что попала только на несколько занятий. О встречи в июне 2020 года. Спасибо всем.

",27 января 2020
326,10,"
Хочу выразить слова благодарности Здравнице «Лаго Наки» . Были у вас впервые на празднование Нового года. Персонал отличный, приветливый, отзывчивый, добрый, встречают с улыбкой- попали как домой.  В ресторане большой ассортимент блюд, 3-х разовое питание (по мне так кормят как на убой!!!).  Улыбка не сходила с лица весь период проживания. За короткое время  пребывания (3 дня) не все процедуры успели изучить, но ванная минеральная и сауна очень поразили.  Всем здоровья и успехов в новом году и новых гостей. Спасибо всем!!!!
      
      
",26 января 2020
327,10,"
Отдыхали 4 раз в здравнице.Выражаем благодарность всему коллективу- врачам, медсестрам, девочкам из ресторана, шеф повару Артемию и всем , всем кто работает в здравнице и создает эту атмосферу уюта, комфорта и реального оздоровления, благодаря которой хочется приезжать еще. Массажистам Насте и Илье( у супруга)- большое спасибо.Результат есть!Руководству здравнице- ( Татьяне Вячеславовне и вашей команде)- респект! Праздники НГ и Рождество- здорово, нам очень понравились.Новый год в Адыгейском стиле- незабываемо! зажигательно, весело и необычно! Всему коллективу желаем здоровья и процветания!Руслан Дамирович, Лидия Николаевна, Антонина Анатольевна- низкий поклон!
      
      
",23 января 2020
328,9,"
Отличный отдых Отличный отдых. Приемлемые цены. Горный воздух, чистое море, на берегу кафе. Инфаструктура развитая. 
      
      
",09 января 2020
329,10,"
чистая, ухоженная набережная со множеством интересных памятников. Можно взять напрокат электросамокаты и прокатиться по всей набережной. Голодными также не останетесь. Были с ребёнком. Как раз проходила выставка оружия и военной техники. Все оружие можно было потрогать, залезть на все бронемашины и примерить на себя обмундирование сотрудника военной полиции. На площади Морского вокзала стоит крейсер Михаил Кутузов. Стоимость разнится прилично: граждане РФ - взрослые 250₽, школьники, студенты, пенсионеры - 100₽, дошкольники, многодетные семьи - 1-к воскресенье месяца - бесплатно; инвалиды 1,2 группы - бесплатно. Для иностранных граждан - 400₽, школьники/студенты - 200₽. Недалеко расположено множество кафешек, пиццерий, суши-баров, KFC.  Но это только на пятачке перед Мор.вокзалом. Отправляясь в сторону Малой Земли стоит хорошо подкрепиться, взять с собой воду и сходить в туалет, так как на всем протяжении набережной туалетов нет. Далее инфраструктура не развита в принципе: есть Парк Фрунзе и на довольно длительном расстоянии пара Кафе - Конь и Дельфин, и вареничная. Цены, ввиду своего расположения, кусаются. 
      
      
",03 января 2020
330,7,"
Хороший пляж ,но многовато мусора . Ездили с детьми в Ейск что бы хорошо отдохнуть и покупаться вдоволь. Конечно плохо ,что очень мелкая вода нормально не поплавали ,зато детям самое то , можно не волноваться о том что детки могут утонуть . Также на пляже можно найти фантики и осколки стекла ,а еще на пляже есть много острых ракушек которые больно клят ногу . Один из хороших моментов было то , когда мы все обмазались глиной . Для дам очень хорошо т.к. говорят , что глина омолаживает  . За практически месяц в море как токовых медуз не видели , разве что попадались совсем маленькие .Еще успела покататься с парашутом которые был прикреплен к скутару . Ощущения и вправду непередаваемы , так что если будете обязательно попробуйте . Такое вы запомните на всю жизнь .   В целом поездкой довольна . Деткам тоже очень понравилось . Думаем ,что в следующем году тоже поедем в Ейск ,только скорее всего на другой пляж . 
      
      
",01 января 2020
331,9,"
В Голубке ЗАМЕЧАТЕЛЬНО !!! Очень хорошие, радушные хозяева, приятный обслуживающий персонал, на любые вопросы ответят, подскажут и расскажут. с водой никаких проблем не было ни разу. Вся территория чистая, очень близкое расположение, если поеду ещё в Кабардинку, то только сюда!
      
      
",28 декабря 2019
332,10,"
Зимний Сочи Парк Зимой Сочи Парк выглядит не хуже, чем летом, красивая ухоженная территория, детские аттракционы работают, так что дети не сильно расстраиваются, что экстремальные не работают, все равно их туда не пустят. Нашли интересную комнату с интерактивными аттракционами, понравилось рисовать огромными фломастерами прямо на стене. То, о чем дети всегда мечтают – изрисовать стены, тут возможно без вреда. Хорошо, что работает ресторан Роллер, пообедали там, не пришлось выходить из парка. 
      
      
",25 декабря 2019
333,10,"
Очень понравилась иглотерапия, массаж Геннадия Ботвинкина, вакуумный массаж Алексея Холопова, озокерит Ольга Дроздова, м/сестры на цокольном этаже и конечно врач Руслан Дамирович.
      
      
",24 декабря 2019
334,10,"
Более 10 раз приезжаю в Здравницу, а в кафе оставляю пожелания 1-ый раз! Все очень хорошо, уютно, вкусно по –домашнему.. Виктория и Наталья просто покрывают теплой волной  и радушием. Сервис на 5 баллов. С Грустью буду вспоминать в Санкт Петербурге ваши хинкали, шашлык и малиновый десерт. Так держать!!!!!! 
      
      
",23 декабря 2019
335,10,"
Большое спасибо Шляховой Анастасии за профессионализм и человеческое отношение. Спасибо всему коллективу здравницы Лаго-Наки за добросовестность и доброжелательность.
      
      
",18 декабря 2019
336,2,"
Перед тем, как писать статью, автору стоило бы посетить Дом Ф.Я.Бурсака. Это реконструированное здание. Старинной посуды, предметов интерьера, рисунков сохранившихся с тех времен в доме нет. Это НЕ музей!!! На достопримечательность можно смотреть снаружи.
      
      
",17 декабря 2019
337,10,"
Хочу выразить благодарность всем сотрудникам Здравницы «Лаго Наки».Уютный, тихий отдых, вдали от суеты и дорог. Но самое главное это доброе, отзывчивое отношение всего персонала. Всем здоровья и успехов в делах!
      
      
",16 декабря 2019
338,10,"
Огромное спасибо всему персоналу здравницы за достойный прием и лечение. Отдельное спасибо нашему лечащему врачу Лидии Николаевне. Нам очень понравилось все. Надеемся, что мы не раз к вам приедем.  
      
      
",28 ноября 2019
339,10,"
Выражаем огромную благодарность всему персоналу санатория за организацию нашего отдыха, особенно медицинским сестрам Ольге, Татьяне Николаевне, Виктории Юрьевне, массажистам Надежде, Анне, Валентине. Отдельное спасибо персоналу ЦКМ Светлане, Юрию Владимировичу. Аши знания, отношение к пациентам восхищают. Спасибо за чистые номера и вкусные обеды. С удовольствием приедем снова.
      
      
",28 ноября 2019
340,10,"
В санаторий попали благодаря Инстаграм. Направление лечения точно наше – опорно-двигательный аппарат. Приехали – заблудились, устали….. хоть обратно уезжай. Но благодаря улыбкам и вниманию Ресепшена –  просто всеми силами погасили наш негатив. Следом попали в руки Лидии Николаевны, и все стало отлично!!! Больше ни одной негативной эмоции-только положительные. К концу первой недели все обострилось – еле передвигала ноги. Но постепенно пришло понимание, что ноги перестраиваются, и я четко осознала, что не все потеряно. Главное, что в голову вложили специалисты санатория – все  в наших руках, останавливаться нельзя и все можно изменить в нашей жизни. Особенная благодарность за массажи и правильный настрой Ботвинкину Т.Н., Кривоконь С.В.. Хочется сказать отдельное спасибо за все Максимову С.А. и Лаптевой О.Ш. и огромное спасибо и поклон Забудской Л.Н.
      
      
",22 ноября 2019
341,9,"
понравилось! Очень понравилось! Просто плохие комментарии оставляют люди, которых всегда что-то не устраивает! 
      
      
",20 ноября 2019
342,10,"
Лучший парк Посетили парк в третий раз. И опять убедились, что он лучший в России, это точно. Парк очень ухожен, приятно просто гулять по дорожкам, мимо резиденции бабы яги или в экодеревне. Шоу захватывающие, дельфины такие умные, с ними, кстати, можно плавать, но это теперь наша летняя идея-фикс. Но сюда едут, конечно, за аттракционами, и отлично, что купил билет и можно кататься сколько угодно.  
      
      
",15 ноября 2019
343,6,"
Только для малышей, стариков и этнографов. Ребенку 3 года. Он в восторге. А мы с женой любим поплавать. Пытался дойти до глубины. Прошел метров 300. Надоело идти. Если бы не волна - даже плавки не намочил бы. Сел на дно по шею. Посидел 10 минут и пошел обратно. Зато не страшно отпускать ребенка одного в воду. Цивилизация - как и в любом курортном городе. Что в Сочах, что в Крыму. Только дешевле раза в 2,5.  В Евпатории 4000 р. за комнату, в Ейске тоже самое 1700 р. Если в Крыму летом народа приезжает в 3-5 раз от населения, то в Ейске в 1,5 раза. Нет такой дикой толпы. Отдых для малышей, стариков и этнографов.
      
      
",14 ноября 2019
344,10,"
Самые экстремальные аттракционы Зашли в Сочи Парк во время прогулки по Олимпийскому парку, и остались очень довольны. Аттракционы, от которых дух захватывает, и на каждом можно кататься сколько угодно. Итого за 3700 в день просто укатались на самом крутом в России, а может и в мире Квантовом Скачке, знаменитой суперскоростной фиолетовой горке.  
      
      
",08 ноября 2019
345,1,"
Ни за что! Никогда я больше не поеду в Адлер! Жили с женой (она в положении) на улице Цветочной. Это ад!!!! Самолёты просто вдавливают! Ни спать, ни тв посмотреть.... Ночью вообще жутко, жена даже расплакалась! А в другом районе рядом они взлетают... В городе не пройти, тратуары одно название, идёшь и думаешь только об одном, что бы тебя не задавили! А цены на продукты?!!! Сраная хурма по 120руб, когда она растёт сдесь в каждом дворе и гнеет... Не хочу я больше сюда...

",01 ноября 2019
346,9,"
Спасибо! Выражаю глубокую и искреннюю благодарность доктору Антонине Анатольевне, девочкам на ресепшн: Татьяне Владимировне, Марине, Тане и Юли. Татьяна Владимировна второй год подряд помогает мне с обратным отъездом – низкий поклон!. За чистоту и уют огромное спасибо горничным Вере Анатольевне и Оксане Александровне – ваш труд тяжёл, но очень нужен, уважение и благодарность! Спасибо поварам и девочкам официанткам – трудятся как пчелки. Прощаюсь до 8 августа 2020 года.

",28 октября 2019
347,10,"
Благодарственное письмо! Прошу Вас объявить персональную благодарность медицинскому персоналу Здравницы: Аникиной Юлии, Мальцевой Татьяны, Кестер Ольге, за внимательное отношение , профессионализм, который они оказывают всем гостям Здравницы!!!

",23 октября 2019
348,10,"
Спасибо! Выражаю огромную благодарность моему врачу Софье Александровне, своим талантом, добротой, Вы вдохнули в меня здоровье и вернули уверенность. Огромное вам спасибо, творческих успехов и удачи в вашем волшебстве.

",21 октября 2019
349,10,"
Благодарна за хороший отдых. Была в здравнице впервые, случайно увидела рекламу в инстаграм. Все понравилось. Размещение, питание, комплекс предложенных лечебных услуг. Индивидуальный подход к каждому пациенту. Персонал подобран профессиональный, доброжелательный. По любому вопросу готовы оказать необходимую помощь. На следующий год запланировала поездку.

",18 октября 2019
350,10,"
Лучший Парк в России и Европе Спасибо огромное, очень классно и красиво в Сочи Парке. Европа отдыхает, честно, вы бы постояли в очередях по два часа в той же Порт Авентуре! Еда отличная, сотрудники супер, очень интересно, всем найдется занятие, и детей можно увлечь, и взрослым не скучно. Обязательно вернемся в следующем году! 
      
      
",18 октября 2019
351,10,"
Хочется поблагодарить Сочи Парк за позитивное настроение и яркие впечатления. Навсегда запомнится «Квантовый скачок», «Змей Горыныч» и «Жар-птица». Спасибо персоналу за вежливость и гостеприимство. Вы такие позитивные! Один обратный отсчет перед взлетом на Жар Птице чего стоит! 
      
      
",11 октября 2019
352,1,"
Совок Отдыхали у знакомых и столкнулись со всеми прелестями совковой бюрократии. Хамство и очень плохое впечатление.
      
      
",05 октября 2019
353,2,"
Худшего отдыха у меня не было С связи с тем, что времени было мало, решили ехать поближе. Выбор пал на Архипку. Отели среднего класса все были заняты, пришлось бронировать номер в отеле подальше от моря. Ходить приходилось минут 20 пешком в одну сторону, но это все ерунда. Когда мы пришли на пляж, я подумала, что это Китай. На пляже и в воде столько людей, просто яблоку негде упасть. Море грязное, после купания бежали бегом в душ, так как тело становилось липким. Берег отвратительный, камни об которые ноги можно сломать. Думаю, тот кто пишет, что здесь хорошо, просто больше нигде не был...
      
      
",29 сентября 2019
354,7,"
Это же юг, культура... Отдых отмечают наглые сборщики податей: сами устанавливают цены на лежаки и пляжные качели, никаких квитанций не дают. Безобразно ведут себя и владельцы обезьянки, навязчиво,хамски преследуют . Где полиция? А, ну да, все на Формуле1
      
      
",29 сентября 2019
355,10,"
Выражаю благодарность иглорефлексотерапевту Никандрову Юрию Владимировичу, как настоящему мастеру своего дела, как чуткому и тактичному человеку, который со всей душой, искренне стремится максимально помочь в выздоровлении пациента, прикладывая к этому разные способы лечения, знания, опыт и душу настоящего целителя!
      
      
",26 сентября 2019
356,10,"
В Здравнице нравится все, и номера (особенно горничные), весь медицинский персонал, питание, сервис. На территории желательно побольше газонов и досуг разнообразить. Утренние занятия йогой просто отличные.
      
      
",25 сентября 2019
357,10,"
Отдыхали всей семьей в июне этого года , всё понравилось и решили что приедем уже ближе к зиме ещё . Всем своим близким советую теперь на оздоровление + отдых только туда ! Всё супер ! Нетрадиционный подход к каждому пациенту и главное с результатом положительным ! Оч рады , что поехали именно в лаго- наки ! Отдых и оздоровление всё на уровне ! Спасибо всем , всем , всем и врачам и обслуживающему персоналу - так держать ! Всё на высшем уровне ! С уважением Натали
      
      
",24 сентября 2019
358,10,"
Огромное спасибо за проведенный день! Красота ландшафта очень обрадовала и удивила, все цветет и пахнет! Отметили очень дружелюбный персонал, на все вопросы отвечают, а у аттракциона Жар Птица отличный сотрудник, с чувством юмора парень! Обратный отсчет ведет до полета, добавляет эмоций! Честно, сложно что-то выделить, в Сочи Парке все круто. А то, что все развлечения входят в билет, вдвойне круто. Заплатил один раз, и катайся – укатайся. 
      
      
",20 сентября 2019
359,10,"
Большое спасибо врачам ЦКМ Максимову СА и Стебницкой СА за помощь в восстановлении моего здоровья и за душевный грамотный подход к своей работе и долгу врачей. До встречи в следующем году!
      
      
",19 сентября 2019
360,1,"
Хрень Разводят на фото это мало сказано, по мне так океанариум и существует ради этих фото, короче не тратьте деньги, смотреть там нечего.
      
      
",11 сентября 2019
361,7,"
Пляж не для всех... Дорогие друзья, от 6 км от Тортуги, начинается нудистский пляж! Если вы не уверены, что можете снять с себя бельё, советую остановиться заранее до отметки 6 км. И убирайте за собой мусор!!! Спасибо!
      
      
",08 сентября 2019
362,1,"
Страшный ротавирус Джемете ,сентябрь 2019,на первый взгляд все идеально ,если не учитывать ,что идиллия длилась 4 дня затем такой ротавирус накрыл детей -за 10 лет путешествий на море ,это впервые .В Джемете -была наша первая и последняя поездка ,это не отдых -это лечение как в инфекционной больнице .
      
      
",08 сентября 2019
363,10,"
Чудесное место! Были в парке в октябре 2018го года. Народу было не очень много, поэтому все было супер! И насладились парком, каждым его уголком, и нафотались вдоволь) Парк замечательный и необычный! Да, небольшой, но каждый экспонат там стоит внимания, поражает фантазия создателя! Не хотелось уходить - красиво, эстетично, уютно! Работники парка очень доброжелательны) Лучше будет, если до посещения парка вы почитаете историю его создания, у парка шикарный сайт!
      
      
",07 сентября 2019
364,1,"
Персонал грубый, один говорит одно, потом подходишь на регистрацию говорят другое. Кафе Бабушка на первом этаже ужас, нагрубили, на кассе выяснилось что бизнес ланч для простых посетителей дороже на 190р, о чем нигде не написано. В общем Спасибо за испорченый день!
      
      
",06 сентября 2019
365,8,"
Сам пляж заслуживает большей оценки. Добросовестные сотрудники пляжа, добросовестная уборщица, внимательные спасатели. Устраивает все. Но бессовестный продавец кукурузы-все портит.  Надеемся на будующий год такого не будет.
      
      
",04 сентября 2019
366,7,"
Очень громко играет музыка у торговцев кукурузой! Приходиться уходить по раньше с головной болью. На просьбу сделать тише не реагируют! Ужас! Развлекают сами себя как хотят! Если и сделают тише, но буквально на 10-15 минут.
      
      
",04 сентября 2019
367,10,"
Ездили отдыхать с друзьями в Архипо-Осиповку, погода была на высоте !!Остановились в кафе-отель «Лазурит» Вкусная еда в кафе и уютные номера недалёко от моря - то , что нужно для отдыха !! Единственный минус - нет кухни в отеле , есть только кафе на первом этаже , а так все здорово !! Приедем ещё .
      
      
",01 сентября 2019
368,9,"
Хочу высказать огромную благодарность мастеру своего дела, психологу Новикову Демьяну Юрьевичу! Это высококлассный Специалист и Человек с большой буквы. Мои головные боли и боль в позвоночнике мучали меня очень долго. Но несколько сеансов с Демьяном Юрьевичем убрали головную боль и многие другие проблемы. Методика Демьяна Юрьевича заставила меня поверить в Волшебников. И этот Волшебник он- Демьян Юрьевич! Спасибо ему большое! Хочется только попросить руководство Здравницы в первый день приезда таких мастеров проводить лекцию о методах их работы для более полной информации .
      
      
",30 августа 2019
369,9,"
Нам очень было комфортно и чисто. Уборка номера просто отлично. Медицинские услуги в общем все не плохо, кроме бассейна. Холодная вода, очень не комфортно плавать. Питание отлично! Это именно то, что нужно для оздоровления организма. Территория отличная.
      
      
",30 августа 2019
370,9,"
Медицинские услуги все очень понравились, очень хочу вернуться, но как финансовая составляющая позволит. Питание понравилось. Территория понравилась со всеми прудами, яблоневым садом и горной рекой
      
      
",29 августа 2019
371,10,"
В Здравнице нравится все, и номера (особенно горничные), весь медицинский персонал, питание, сервис. На территории желательно побольше газонов и досуг разнообразить. Утренние занятия йогой просто отличные.
      
      
",28 августа 2019
372,3,"
Не советую сюда ехать отдыхать! Плюсы - Лоо - это место для тихого семейного отдыха.Цены - дешевле чем в Сочи.Минусы - море грязное, с массой сточных труб в море.Даже река, которая стекает в море - тоже очень грязная и вонючая...Во время отдыха всей семьей подхватили ротовирусную инфекцию -рвота, понос, упадок сил... По приезду домой еще длительно лечились.В аптеках, которые ближе к морю - цены вдвое выше,чем в аптеках на периферии.Отдыхали в Лоо в августе 2019 , по приезду на ЖД вокзал шли по путям - после продолжительных дождей подземный переход был затоплен. 
      
      
",28 августа 2019
373,1,"
Не советую здесь отдыхать Приехал с семьей в Адлер 25 августа. В первый же день заметели, что по городу катаюся много скорых, либо стоят около гостиниц. На второй день  стало понятно почему, у жены и дочери кишечная инфекция. В нашем отеле мы не одни такие. В разговорах  местные шепотом говорят, что в городе кишечная инфекция давно и в море купаться нельзя. Когда спросил девушку на рисепшене отеля  в курсе ли она , что у них в море купаться нельзя, она ответила конечно, там же кишечная инфекция. И она лично не купается в море. На вопрос почему не предупреждает приезжих? она так толком и не ответила. Удивляет и позиция местных властей ? на пляже ни одного предуреждения. Больше сюда никогда не приеду. За деньги, за которые можно съездить в Европу, получили испорченный отпуск и подорванное здоровье.                
      
      
",27 августа 2019
374,9,"
Впечатление очень хорошее, санаторий нам понравился Отдыхали с мужем в санатории в мае 2019 года. Впечатление очень хорошее, санаторий нам понравился, особенно нестандартное и эффективное лечение, удобные чистые номера, приветливый персонал (выражаем благодарность двум Татьянам на ресепшн), красивая территория, интересная развлекательная программа. Однако, есть замечания по питанию — блюда с непонятными названиями, непривычное сочетание ингредиентов, хотелось бы простое меню русской кухни.
      
      
",27 августа 2019
375,10,"
отзывчивые полицейские Всем добрый день. Хочу поблагодарить сотрудников  полиции, которые работают на паралии, за быстрое реагирование и вежливое отношение. 23,08,2019 потеряла 6 летнего ребенка около паралии. Самостоятельные поиски результата не дали. Обратилась в отдел полиции на паралии и они нашли ребенка за 30 мин. Спасибо большое за Вашу работу побольше таких сотрудников как Вы.
      
      
",24 августа 2019
376,1,"
Море жутко грязное. Вышли 2 раза на пляж. Узнали, что многие болеют после купания в море ротавирусной инфекцией, после ни ногой туда(хорошо есть бассейн в пансионате).Цены пугают. По Набережной гулять невозможно, толпы народу, плюс велосипедная дорожка по которой шныряют двухколесные гонщики (прокат), и в основном дети, которые того и дело наедут на тебя. В самом городе гулять негде
      
      
",21 августа 2019
377,1,"
Кошмарррр. По другому не назовёшь... Что первое удивило-нет браслетов, на которые можно внести денежку... Как дурак бегаешь за денежкой к своему шкафчику(который оплачивается, кстати, отдельно:1750р.за вход+200р за шкафчик+200р.залог за шкафчик), чтобы купить что-нибудь. Все горки с ужасными швами, поэтому выбирала горки на плюшках, а там очереди жжжжуткие. В итоге ушли буквально через часа 4,т.к. развлекаться больше не на чем, кроме как этих горках со швами, которые занимают почти весь аквапарк. Горок много, все со швами и однотипные. Кафешки тоже дорогие, даже столовая, в которой казалось бы цены должны быть народными, пугает ценниками. Билеты продают только на весь день... Многие уходят как и мы, уже через 3-4 часа, т. к. аквапарк не комфортный, шкафчики совдеповские, кабинок для переодевания нет. Фууууу... Не стоит он этих денег 
      
      
",21 августа 2019
